Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry,sentiment,confidence
MBI,MBIA Inc.,-5.244681,4.141,9.45,248330496,Financial Services,Insurance - Specialty,neutral,0.4241849184036255
MC,Moelis & Company,29.325533,2.195,4.93,5112514560,Financial Services,Capital Markets,neutral,0.4241849184036255
MCD,McDonald's Corporation,23.579699,1.181,2.73,212607909888,Consumer Cyclical,Restaurants,neutral,0.4241849184036255
MCK,McKesson Corporation,19.372452,0.899,2.45,89069035520,Healthcare,Medical Distribution,neutral,0.4241849184036255
MCO,Moody's Corporation,37.296547,1.565,4.71,89391398912,Financial Services,Financial Data & Stock Exchanges,neutral,0.4241849184036255
MCR,MFS Charter Income Trust,30.047619,0.083,1.35,263364256,Financial Services,Asset Management,neutral,0.4241849184036255
MCS,Marcus Corporation (The),33.083332,0.419,3.76,559131648,Communication Services,Entertainment,neutral,0.4241849184036255
MCY,Mercury General Corporation,10.506154,1.347,4.94,3782487552,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
MD,"Pediatrix Medical Group, Inc.",8.509805,1.814,2.06,1118492160,Healthcare,Medical Care Facilities,neutral,0.4241849184036255
MDT,Medtronic plc.,15.464958,1.849,1.01,115915595776,Healthcare,Medical Devices,neutral,0.4241849184036255
MDU,"MDU Resources Group, Inc.",15.228071,0.853,4.56,3547186432,Industrials,Conglomerates,neutral,0.4241849184036255
MDV,"Modiv Industrial, Inc.",131.04546,10.362,0.64,145865392,Real Estate,REIT - Industrial,neutral,0.4241849184036255
MEC,"Mayville Engineering Company, I",23.393938,1.673,2.77,315917824,Industrials,Metal Fabrication,neutral,0.4241849184036255
MED,MEDIFAST INC,46.666664,3.524,7.45,153874000,Consumer Cyclical,Personal Services,neutral,0.4241849184036255
MEG,"Montrose Environmental Group, I",-50.283634,2.048,7.51,757026560,Industrials,Waste Management,neutral,0.4241849184036255
MEI,"Methode Electronics, Inc.",8.1402445,2.841,4.47,235005392,Technology,Electronic Components,neutral,0.4241849184036255
MET,"MetLife, Inc.",7.8957696,1.6,3.07,51361009664,Financial Services,Insurance - Life,neutral,0.4241849184036255
MFA,"MFA Financial, Inc.",5.7147236,38.194,2.33,956212672,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
MFC,Manulife Financial Corporation,10.377458,36.552,2.6,52288471040,Financial Services,Insurance - Life,neutral,0.4241849184036255
MG,Mistras Group Inc,9.583334,1.497,4.45,252204896,Industrials,Security & Protection Services,neutral,0.4241849184036255
MGA,"Magna International, Inc.",6.966387,1.056,4.39,11677916160,Consumer Cyclical,Auto Parts,neutral,0.4241849184036255
MGM,MGM Resorts International,16.108696,1.306,4.19,10083120128,Consumer Cyclical,Resorts & Casinos,neutral,0.4241849184036255
MGY,Magnolia Oil & Gas Corporation,11.789743,1.334,13.53,4424931328,Energy,Oil & Gas E&P,neutral,0.4241849184036255
MHK,"Mohawk Industries, Inc.",10.076234,2.011,2.93,7024649728,Consumer Cyclical,"Furnishings, Fixtures & Appliances",neutral,0.4241849184036255
MHO,"M/I Homes, Inc.",5.760228,8.235,4.06,3242982656,Consumer Cyclical,Residential Construction,neutral,0.4241849184036255
MIR,"Mirion Technologies, Inc.",42.683674,2.227,3.55,4818167808,Industrials,Specialty Industrial Machinery,neutral,0.4241849184036255
MITT,"AG Mortgage Investment Trust, I",8.430108,8.32,2.57,232662192,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
MKC,"McCormick & Company, Incorporat",23.01763,0.68,2.04,19275075584,Consumer Defensive,Packaged Foods,neutral,0.4241849184036255
MKL,Markel Group Inc.,20.416946,2.833,2.83,25491681280,Financial Services,Insurance - Property & Casualty,neutral,0.4241849184036255
MLI,"Mueller Industries, Inc.",16.045282,4.295,4.98,9409676288,Industrials,Metal Fabrication,neutral,0.4241849184036255
MLM,"Martin Marietta Materials, Inc.",27.047745,2.249,5.39,33981372416,Basic Materials,Building Materials,neutral,0.4241849184036255
MLNK,"MeridianLink, Inc.",33.08,2.222,3.49,1276729344,Technology,Software - Application,neutral,0.4241849184036255
MLR,"Miller Industries, Inc.",6.8284793,3.227,14.9,483582464,Consumer Cyclical,Auto Parts,neutral,0.4241849184036255
MMC,"Marsh & McLennan Companies, Inc",22.376457,1.136,3.29,103737581568,Financial Services,Insurance Brokers,neutral,0.4241849184036255
MMI,"Marcus & Millichap, Inc.",521.0833,3.769,3.8,1218612736,Real Estate,Real Estate Services,neutral,0.4241849184036255
MMM,3M Company,19.172152,1.657,3.4,81512898560,Industrials,Conglomerates,neutral,0.4241849184036255
MMS,"Maximus, Inc.",13.1470585,1.842,5.35,4030108928,Industrials,Specialty Business Services,neutral,0.4241849184036255
MNR,Mach Natural Resources LP,5.12063,0.694,2.02,1733060096,Energy,Oil & Gas E&P,neutral,0.4241849184036255
MNSO,MINISO Group Holding Limited,11.549669,1.987,4.97,5346441216,Consumer Cyclical,Specialty Retail,neutral,0.4241849184036255
MNTN,"MNTN, Inc.",32.114094,0.976,0.5,2123697408,Technology,Software - Application,neutral,0.4241849184036255
MO,"Altria Group, Inc.",11.04486,0.571,5.06,99534151680,Consumer Defensive,Tobacco,neutral,0.4241849184036255
MOD,Modine Manufacturing Company,19.554853,1.777,4.14,4864074752,Consumer Cyclical,Auto Parts,neutral,0.4241849184036255
MODG,Topgolf Callaway Brands Corp.,58.78125,2.116,6.62,1728187520,Consumer Cyclical,Leisure,neutral,0.4241849184036255
MOGU,MOGU Inc.,36.0,1.54,0.5,20704346,Consumer Cyclical,Internet Retail,neutral,0.4241849184036255
MOH,Molina Healthcare Inc,7.0984054,1.626,2.13,9891500032,Healthcare,Healthcare Plans,neutral,0.4241849184036255
MOS,Mosaic Company (The),14.508129,1.123,2.19,11321973760,Basic Materials,Agricultural Inputs,neutral,0.4241849184036255
MOV,Movado Group Inc.,6.4488187,4.07,3.45,364240416,Consumer Cyclical,Luxury Goods,neutral,0.4241849184036255
MP,MP Materials Corp.,480.08334,4.121,3.15,9416699904,Basic Materials,Other Industrial Metals & Mining,neutral,0.4241849184036255
MPC,Marathon Petroleum Corporation,17.325548,1.194,4.02,54291042304,Energy,Oil & Gas Refining & Marketing,neutral,0.4241849184036255
MPLX,MPLX LP,11.45805,1.084,6.85,51581022208,Energy,Oil & Gas Midstream,neutral,0.4241849184036255
MPV,Barings Participation Investors,26.930553,2.313,2.94,205968336,Financial Services,Asset Management,neutral,0.4241849184036255
MPW,"Medical Properties Trust, Inc.",16.759258,5.79,20.8,2718620160,Real Estate,REIT - Healthcare Facilities,neutral,0.4241849184036255
MPX,Marine Products Corporation,16.92,3.656,11.39,295722688,Consumer Cyclical,Recreational Vehicles,neutral,0.4241849184036255
MRC,MRC Global Inc.,12.732143,1.685,4.98,1213249408,Energy,Oil & Gas Equipment & Services,neutral,0.4241849184036255
MRK,"Merck & Company, Inc.",8.620638,1.41,2.5,203478794240,Healthcare,Drug Manufacturers - General,neutral,0.4241849184036255
MS,Morgan Stanley,17.615385,2.073,2.87,224107462656,Financial Services,Capital Markets,neutral,0.4241849184036255
MSA,MSA Safety Incorporated,21.389643,2.935,4.84,6818394624,Industrials,Security & Protection Services,neutral,0.4241849184036255
MSB,Mesabi Trust,-1.3610691,3.509,12.02,354108800,Basic Materials,Steel,neutral,0.4241849184036255
MSC,Studio City International Holdi,-49.28,1.007,0.83,949073664,Consumer Cyclical,Resorts & Casinos,neutral,0.4241849184036255
MSCI,MSCI Inc.,32.603283,0.843,2.54,42984513536,Financial Services,Financial Data & Stock Exchanges,neutral,0.4241849184036255
MSGE,Madison Square Garden Entertain,20.607141,0.572,5.3,1916905344,Consumer Cyclical,Leisure,neutral,0.4241849184036255
MSGS,Madison Square Garden Sports Co,128.375,0.517,4.7,4933214720,Communication Services,Entertainment,neutral,0.4241849184036255
MSI,"Motorola Solutions, Inc.",28.686522,1.198,2.41,70339239936,Technology,Communication Equipment,neutral,0.4241849184036255
MSIF,"MSC Income Fund, Inc.",10.854045,1.662,1.33,786347648,Financial Services,Asset Management,neutral,0.4241849184036255
MSM,"MSC Industrial Direct Company, ",20.179068,1.918,7.39,4914713600,Industrials,Industrial Distribution,neutral,0.4241849184036255
MT,Arcelor Mittal NY Registry Shar,8.471321,1.349,2.69,26533695488,Basic Materials,Steel,neutral,0.4241849184036255
MTAL,MAC Copper Limited,241.29999,1.117,1.49,995220096,Basic Materials,Copper,neutral,0.4241849184036255
MTD,"Mettler-Toledo International, I",28.539673,1.013,2.88,25267521536,Healthcare,Diagnostics & Research,neutral,0.4241849184036255
MTDR,Matador Resources Company,6.33375,0.789,6.28,6344035840,Energy,Oil & Gas E&P,neutral,0.4241849184036255
MTG,MGIC Investment Corporation,9.237411,2.291,4.08,6097381888,Financial Services,Insurance - Specialty,neutral,0.4241849184036255
MTH,Meritage Homes Corporation,3.4445472,12.573,3.88,5354230784,Consumer Cyclical,Residential Construction,neutral,0.4241849184036255
